age,annual_income,monthly_debt,cibil_score,loan_amount,employment_length,home_ownership,dependents,interest_rate,loan_term_months,loan_purpose,loan_status
25,300000,5000,620,500000,1-3,RENT,0,14.5,36,Personal,Defaulted
34,850000,12000,745,2000000,5-10,OWN,2,10.5,60,Home,Paid
28,450000,8000,580,800000,1-3,RENT,1,16.0,48,Auto,Defaulted
45,1200000,15000,790,5000000,10+,OWN,3,9.0,120,Business,Paid
22,250000,3000,550,300000,<1,RENT,0,18.0,24,Personal,Defaulted
38,750000,10000,720,1500000,5-10,MORTGAGE,2,11.5,60,Home,Paid
30,500000,7000,680,1000000,3-5,RENT,1,13.0,36,Education,Paid
52,1500000,20000,810,8000000,10+,OWN,2,8.5,180,Business,Paid
27,350000,6000,600,600000,1-3,RENT,0,15.5,36,Auto,Defaulted
41,900000,14000,760,3000000,5-10,MORTGAGE,3,10.0,84,Home,Paid
23,280000,4500,540,400000,<1,RENT,0,17.0,24,Personal,Defaulted
36,680000,9000,710,1200000,3-5,OWN,1,12.0,48,Education,Paid
48,1100000,18000,800,6000000,10+,OWN,4,9.5,120,Business,Paid
29,420000,7500,650,700000,1-3,MORTGAGE,1,14.0,36,Personal,Defaulted
33,600000,8500,700,1000000,3-5,RENT,2,12.5,48,Auto,Paid
55,1800000,25000,830,10000000,10+,OWN,3,8.0,240,Home,Paid
24,320000,5500,570,500000,<1,RENT,0,16.5,24,Personal,Defaulted
40,800000,11000,740,2500000,5-10,MORTGAGE,2,11.0,72,Home,Paid
31,480000,6500,660,900000,3-5,RENT,1,13.5,36,Education,Defaulted
44,1000000,16000,780,4000000,10+,OWN,3,9.5,96,Business,Paid
26,380000,5000,610,550000,1-3,RENT,0,15.0,36,Auto,Defaulted
37,720000,10000,730,1800000,5-10,OWN,2,11.0,60,Home,Paid
50,1400000,22000,820,7000000,10+,OWN,2,8.5,180,Business,Paid
32,550000,8000,690,1100000,3-5,MORTGAGE,1,12.5,48,Personal,Paid
21,220000,3500,520,250000,<1,RENT,0,19.0,24,Personal,Defaulted
43,950000,13000,770,3500000,5-10,OWN,3,10.0,84,Home,Paid
35,640000,9500,705,1300000,3-5,MORTGAGE,2,12.0,48,Education,Paid
46,1150000,17000,795,5500000,10+,OWN,4,9.0,120,Business,Paid
28,400000,7000,640,750000,1-3,RENT,0,14.5,36,Auto,Defaulted
39,780000,11000,750,2200000,5-10,MORTGAGE,2,10.5,60,Home,Paid
